repository,good_first,created_at,comments,url,title,number,flags,labels
unslothai/unsloth,yes,2026-04-23T04:29:49Z,3,https://github.com/unslothai/unsloth/issues/5141,Docs: current Codex local llama.cpp guide does not work as written with Responses API,5141,good first issue,good first issue
unslothai/unsloth,yes,2026-04-01T10:55:04Z,2,https://github.com/unslothai/unsloth/issues/4753,[Feature] Draft model / speculative decoding,4753,good first issue; help wanted,feature request; help wanted; good first issue
unslothai/unsloth,yes,2026-03-23T11:37:46Z,3,https://github.com/unslothai/unsloth/issues/4539,[Feature] Unsloth/ Whisper/Large-v3 - S3 Bucket connection,4539,good first issue; help wanted,feature request; help wanted; good first issue
unslothai/unsloth,yes,2026-01-29T22:37:08Z,6,https://github.com/unslothai/unsloth/issues/3951,[Feature] Add FT support for the Qwen3-TTS model.,3951,good first issue; help wanted,feature request; help wanted; good first issue
ggml-org/llama.cpp,yes,2025-11-25T07:29:13Z,3,https://github.com/ggml-org/llama.cpp/issues/17488,GGUF convert support for Vibevoice,17488,good first issue; help wanted,enhancement; help wanted; good first issue; model; 3rd party; tts
unslothai/unsloth,yes,2025-11-06T05:31:30Z,5,https://github.com/unslothai/unsloth/issues/3560,[Bug] Cannot load qwen3-vl series with lora adapter on vllm.,3560,good first issue,good first issue
sktime/sktime,yes,2025-01-28T16:01:27Z,3,https://github.com/sktime/sktime/issues/7707,[ENH] technical roadmap 2025,7707,good first issue,good first issue; enhancement; roadmap
ggml-org/llama.cpp,yes,2024-12-06T12:07:53Z,4,https://github.com/ggml-org/llama.cpp/issues/10688,llama : add CLI assistant,10688,good first issue,enhancement; good first issue; roadmap
unslothai/unsloth,yes,2024-09-30T08:30:42Z,13,https://github.com/unslothai/unsloth/issues/1078,NEFTune - check if it functions correctly - `neftune_post_forward_hook` removed from trl,1078,good first issue,good first issue
unslothai/unsloth,yes,2024-09-27T06:37:34Z,7,https://github.com/unslothai/unsloth/issues/1067,Evaluation loss becomes constant,1067,good first issue,currently fixing; good first issue
unslothai/unsloth,yes,2024-09-27T05:37:37Z,7,https://github.com/unslothai/unsloth/issues/1066,Batch inference seems to have gibberish,1066,good first issue,currently fixing; good first issue
ggml-org/llama.cpp,yes,2024-09-24T13:47:44Z,4,https://github.com/ggml-org/llama.cpp/issues/9628,Bug: Failed to run qwen2-57b-a14b-instruct-fp16.,9628,good first issue,bug; good first issue; high severity
sktime/sktime,yes,2024-08-27T19:37:44Z,12,https://github.com/sktime/sktime/issues/7048,[ENH] Seasonal-Trend decomposition by Regression,7048,good first issue,feature request; good first issue; module:forecasting; module:transformations; enhancement
unslothai/unsloth,yes,2024-08-22T08:33:30Z,14,https://github.com/unslothai/unsloth/issues/946,Single token output / binary classification loss goes to 0,946,good first issue,good first issue
sktime/sktime,yes,2024-08-07T15:31:59Z,11,https://github.com/sktime/sktime/issues/6911,[ENH] refactoring html representation documentation link to allow custom linking in private and public extensions to sktime,6911,good first issue,good first issue; enhancement; module:base-framework
sktime/sktime,yes,2024-07-28T11:26:20Z,4,https://github.com/sktime/sktime/issues/6859,CI wishlist of features to simplify tracking of failures,6859,good first issue,good first issue; maintenance
unslothai/unsloth,yes,2024-07-10T13:55:42Z,9,https://github.com/unslothai/unsloth/issues/755,Notebook to show vLLM inference,755,good first issue,currently fixing; good first issue
mlflow/mlflow,no,2026-05-18T13:01:25Z,3,https://github.com/mlflow/mlflow/issues/23429,[FR] Explicitly setting run IDs of traces,23429,help wanted,enhancement; help wanted; area/tracing; domain/genai; ready
mlflow/mlflow,no,2026-05-08T07:33:50Z,1,https://github.com/mlflow/mlflow/issues/23125,[FR] Stress Testing Mlflow,23125,area/docs,enhancement; area/docs; area/uiux; area/model-registry; area/projects; area/scoring; area/tracking; area/tracing; area/evaluation; domain/platform
ray-project/ray,no,2026-04-28T03:13:31Z,2,https://github.com/ray-project/ray/issues/62983,[Serve][LLM] Recipe for DeepSeek-V4 on NPU via Ray Serve + vLLM,62983,docs,serve; docs; performance; llm; community-backlog
vllm-project/vllm,no,2026-04-21T19:22:16Z,3,https://github.com/vllm-project/vllm/issues/40544,[Feature]: Integrate fused `kMoEFinalizeARResidualRMSNorm` from FlashInfer,40544,help wanted,help wanted; feature request
unslothai/unsloth,no,2026-04-21T15:37:28Z,4,https://github.com/unslothai/unsloth/issues/5125,[Feature] Request permission before downloading model on first run,5125,help wanted,feature request; help wanted
Lightning-AI/torchmetrics,no,2026-04-19T06:27:43Z,1,https://github.com/Lightning-AI/torchmetrics/issues/3362,Bug,3362,help wanted,bug / fix; help wanted
numpy/numpy,no,2026-04-15T08:41:42Z,1,https://github.com/numpy/numpy/issues/31248,DOC: Clarify and document a two-stage F2PY callback workflow for larger Fortran programs,31248,04 - Documentation,04 - Documentation; component: numpy.f2py
ray-project/ray,no,2026-04-14T07:39:36Z,0,https://github.com/ray-project/ray/issues/62600,[core][rdt] Improve NIXL rdt docs on configuration and performance tuning,62600,docs,enhancement; usability; docs; core
pyg-team/pytorch_geometric,no,2026-04-07T12:44:07Z,0,https://github.com/pyg-team/pytorch_geometric/issues/10664,HGTConv doesn't support setting of aggr,10664,documentation,documentation
